"Provider","Series","Efficiency index at 55°C","Efficiency index at 35°C","Efficiency class at 35°C","Efficiency class at 55°C","Type","Heat output W10/W35 (kW)","Heat output A2/W35 (kW)","Heat output B0/W35 (kW)","COP W10/W35","COP W10/W55","COP A2/W35","COP A7/W55","COP A-7/W55","COP B0/W35","COP B0/W55","Inverter technology","SCOP","Noise level external (dB)","Noise level inside (dB)","Refrigerant","Height inside (cm)","Width inside (cm)","Depth inside (cm)","Height outside (cm)","Width outside (cm)","Depth outside (cm)","EHPA or CH quality label","Link to manufacturer"
"Domotec AG","HPSU HT-CU 18-DB","142","190","A+++","A++","air-water","","12.74","","","","4.09","3.06","2.29","","","yes","","54","","R32","190","79","79","101","127","54","011-1WO362 DIN CERTCO","https://domotec.ch/"
"Buderus","SIK 6TES","130","190","A+++","A++","earth-water","","","5.9","","","","","","4.7","2.8","no","","","42","R410A","111","65","66","","","","CH-HP-00538","https://www.buderus.com"
"Stiebel Eltron AG","WPF 04","128","189","A++","A++","earth-water","","","4.77","","","","","","4.52","2.72","no","","","43","R410A","132","60","66","","","","CH-HP-00513","https://www.stiebel-eltron.ch"
"Stiebel Eltron AG","WPF 16","134","189","A++","A++","earth-water","","","17.02","","","","","","4.54","2.2","no","","","53","R410A","132","60","66","","","","CH-HP-00513","https://www.stiebel-eltron.ch"
"Swisstherm AG","AWI 8 Dynamic","137","189","A++","A++","air-water","","10","","","","4.12","4.95","3.9","","","yes","","51.8","48","R410A","177","105","77","","","","CH-HP-00837","http://www.swisstherm.ch/de/produkte/waermepumpen/kompakt-luft-wasser-aussen.html"
"Swisstherm AG","AWI 8 Dynamic AC","137","189","A++","A++","air-water","","10","","","","4.12","4.95","3.9","","","yes","","51.8","48","R410A","177","105","77","","","","CH-HP-00837","http://www.swisstherm.ch/de/produkte/waermepumpen/kompakt-luft-wasser-aussen.html"
"CTA AG","Optipro OP 110ed","150","189","A+++","A+++","earth-water","","","111","","","","","","4.6","2.9","no","4.9","","59","R410A","198","126","86","","","","CH-HP-00956","http://www.cta.ch"
"CTA AG","Optipro OP 140ed","150","189","A+++","A+++","earth-water","","","140","","","","","","4.6","2.9","no","4.9","","56","R410A","198","126","86","","","","CH-HP-00956","http://www.cta.ch"
"CTA AG","Optipro OP 160ed","150","189","A+++","A+++","earth-water","","","161","","","","","","4.6","2.9","no","4.9","","56","R410A","198","126","86","","","","CH-HP-00956","http://www.cta.ch"
"CTA AG","Optipro OP 210ed","152","189","A+++","A+++","earth-water","","","206","","","","","","4.7","2.9","no","4.9","","60","R410A","198","126","86","","","","CH-HP-00956","http://www.cta.ch"
"Hoval AG","Thermalia comfort H (10)","140","188","A+++","A++","earth-water","","","9.1","","","","","","4.6","3.15","no","4.9","","45","R134a","122","60","72","","","","CH-HP-00579","http://www.hoval.com"
"CTA AG","Optiheat OH 1-29e","126","188","A+++","A++","earth-water","","","29.1","","","","","","4.7","2.6","no","4.91","","44","R410A","126","53","70","","","","CH-HP-00501","http://www.cta.ch"
"CTA AG","Optiheat OH 1-50e","130","188","A+++","A++","earth-water","","","50","","","","","","4.7","2.8","no","4.91","","55","R410A","124","118","76","","","","CH-HP-00472","http://www.cta.ch"
"CTA AG","Optipro OP 130ed","151","188","A+++","A+++","earth-water","","","127","","","","","","4.6","2.9","no","4.9","","57","R410A","198","126","86","","","","CH-HP-00956","http://www.cta.ch"
"Müba Energietechnik AG","Adapt 0312","137","188","A+++","A++","air-water","","6.56","","","","4.47","3.06","2.44","","","yes","","44","","R452B","70","53","35","140","105","68","CH-HP-00915","Müba Luft Wasser Wärmepumpe, zukunftsorientiert heizen und kühlen (mueba-energietechnik.ch)"
"Buderus","LI 16I-TUR","145","188","A+++","A++","air-water","","6","","","","4.2","3.2","2","","","yes","","53","50","R410A","156","96","76","","","","CH-HP-00941","https://www.buderus.com"
"Zehnder Group","ComfoHeat 5-22 kW","150","188","A+++","A++","earth-water","","","22","","","","","","4.8","2.9","yes","4.7","","46","R410A","106","60","71","","","","CH-HP-01054","https://www.zehndergroup.com"
