Distributors,Address,zipcode,lat,long,operating radius,operating districts,workforce,max_installations
APPEL GmbH,"69181 Leimen, Germany",69181,49.34496659356642,8.681438800283718,150.0,HeidelbergStadtStadt;MannheimUniversitaetsstadt;SpeyerStadt;LudwigshafenamRheinStadt;GermersheimLand;KarlsruheStadtStadt;WormsStadt;Neustadta.d.Aisch_BadW.;Rhein_Neckar_Land;HeilbronnLandLand;Dingolfing_LandauLand;Darmstadt_DieburgLand;BirkenfeldLand;RastattLand;PforzheimStadtStadt,10.0,500.0
Aqua-Solar,"64385 Reichelsheim, Germany",64385,49.70043805,8.84782296118301,150.0,Darmstadt_DieburgLand;MannheimUniversitaetsstadt;MiltenbergLand;LudwigshafenamRheinStadt;WormsStadt;HeidelbergStadtStadt;Aschaffenburg;OffenbachamMainStadt;SpeyerStadt;FrankfurtamMainStadt;AhrweilerLand;Mainz_BingenLand;Rheingau_Taunus_Land;WiesbadenLandeshauptstadt;GermersheimLand,10.0,500.0
Aust + Hartmann GmbH & Co.KG,"23996 Niendorf, Germany",23996,53.773940703372325,11.463455579976376,150.0,SchwerinLandeshauptstadt;Nordwestmecklenburg;HerzogtumLauenburg;Ludwigslust_Parchim;LuebeckHansestadt;RostockHansestadt;MecklenburgischeSeen;Segeberg;Ostholstein;Luechow_DannenbergLand;Ploen;NeumuensterStadt;HamburgBundesland;Pinneberg;KielLandeshauptstadt,10.0,500.0
Autenrieth + Wehner GmbH,"36037 Fulda, Germany",36037,50.55347859515582,9.679081172366187,150.0,FuldaLand;Schmalkalden_Meiningen;Schweinfurt;SuhlStadt;Lahn_Dill_Land;Marburg_BiedenkopfLand;FrankfurtamMainStadt;Aschaffenburg;HildburghausenLand;Schwalm_Eder_Land;KasselLand;EisenachStadt;HaßbergeLand;WuerzburgLandLand;Waldeck_FrankenbergLand,10.0,500.0
B. Hahn,"95119 Naila OT Marlesreuth, Germany",95119,50.32832285,11.69696878699962,150.0,HofLandLand;KronachLand;KulmbachLand;Wunsiedeli.Fichtelgebirge;SonnebergLand;BayreuthLandLand;LichtenfelsLand;GreizLand;CoburgLandLand;Groß_GerauLand;ZwickauLand;Saalfeld_RudolstadtLand;JenaStadt;TirschenreuthLand;HildburghausenLand,10.0,500.0
bad&heizung Griesche GmbH,"01558 Großenhain, Germany",1558,51.2901101,13.525065169942806,150.0,SaechsischeSchweiz_Osterz;DresdenStadt;BautzenLand;VogtlandLand;ChemnitzStadt;NordsachsenLand;LeipzigStadt;CottbusStadt;ZwickauLand;GoerlitzLand;AltenburgerLandLand;GeraStadt;GreizLand,10.0,500.0
Baldur Weid,"56479 Rehe/Westerwald, Germany",56479,50.61558265664086,8.044241900935656,150.0,Limburg_WeilburgLand;AltenkirchenWesterwald;Siegen_Wittgenstein;Mayen_KoblenzLand;NeuwiedLand;Olpe;Rheingau_Taunus_Land;WiesbadenLandeshauptstadt;Oberbergischer;Marburg_BiedenkopfLand;Rhein_Lahn_Land;MainzStadt;Waldeck_FrankenbergLand;Rhein_Sieg_;Cochem_ZellLand,10.0,500.0
Beck GmbH & Co KG,"40721 Hilden, Germany",40721,51.16619285,6.914028880079641,150.0,DuesseldorfStadt;Mettmann;Rhein_Neuss;SolingenStadt;LeverkusenStadt;WuppertalStadt;RemscheidStadt;DuisburgStadt;KoelnStadt;EssenStadt;MoenchengladbachStadt;OberhausenStadt;Viersen;KrefeldStadt;Rhein_Erft_,10.0,500.0
Becker GmbH,"67307 Göllheim, Germany",67307,49.59193913855156,8.048817187532437,150.0,Alzey_WormsLand;KaiserslauternStadt;BadDuerkheimLand;LudwigshafenamRheinStadt;MannheimUniversitaetsstadt;MainzStadt;Rhein_Lahn_Land;SpeyerStadt;Neustadta.d.Aisch_BadW.;HeidelbergStadtStadt;Darmstadt_DieburgLand;KuselLand;Rheingau_Taunus_Land;WiesbadenLandeshauptstadt;Dingolfing_LandauLand,10.0,500.0
Beckers Regeltechnik GmbH,"47506 Neukirchen-Vluyn, Germany",47506,51.43527775,6.5506149917785335,150.0,KrefeldStadt;DuisburgStadt;OberhausenStadt;Viersen;DuesseldorfStadt;EssenStadt;Rhein_Neuss;BottropStadt;Hochsauerland;Wesel;MoenchengladbachStadt;GelsenkirchenStadt;Mettmann;BochumStadt;HerneStadt,10.0,500.0
Beckmann GmbH,"24941 Flensburg, Germany",24941,54.77491915,9.387348411186212,150.0,FlensburgStadt;Nordfriesland;Rendsburg_Eckernfoerde;WesterwaldLand;KielLandeshauptstadt;Dithmarschen;NeumuensterStadt;Steinburg;Ploen;Segeberg;Ostholstein,10.0,500.0
Berna Kühlanlagen GmbH,"08058 Zwickau, Germany",8058,50.75047053591186,12.482388505218001,150.0,ZwickauLand;GreizLand;AltenburgerLandLand;Groß_GerauLand;MittelsachsenLand;ChemnitzStadt;Hof;LeipzigStadt;NordsachsenLand;JenaStadt;WeimarerLandLand;Saalfeld_RudolstadtLand;DresdenStadt;Wunsiedeli.Fichtelgebirge;SaechsischeSchweiz_Osterz,10.0,500.0
Bernd Elsner Sanitär & Heizungstechnik,"14774 Brandenburg an der Havel, Germany",14774,52.3974682685955,12.41637681802356,150.0,BrandenburganderHavel;JerichowerLandLand;BurgenlandLand;StendalLand;Dahme_SpreewaldLand;Potsdam_MittelmarkLand;MagdeburgLandeshauptstadt;Teltow_FlaemingLand;SalzlandLand;BerlinBundesland;BarnimLand;Anhalt_BitterfeldLand;HelmstedtLand;HalleSaaleStadt;NordsachsenLand,10.0,500.0
Bernd Krämer Heizung-Elektro-Sanitär,"09116 Chemnitz, Germany",9116,50.82538849213916,12.874168235565287,150.0,MittelsachsenLand;ChemnitzStadt;ZwickauLand;AltenburgerLandLand;GreizLand;GeraStadt;LeipzigStadt;DresdenStadt;NordsachsenLand;SaechsischeSchweiz_Osterz;HofLandLand;JenaStadt;WeimarerLandLand;BautzenLand;HalleSaaleStadt,10.0,500.0
Bernhard Roll GmbH,"14167 Berlin, Germany",14167,52.42157845,13.27883356116847,150.0,Teltow_FlaemingLand;BarnimLand;BerlinBundesland;OberhavelLand;Potsdam_MittelmarkLand;BrandenburganderHavel;BurgenlandLand;CottbusStadt;JerichowerLandLand;StendalLand;MagdeburgLandeshauptstadt;BoerdeLand;Anhalt_BitterfeldLand,10.0,500.0
Bernhard Werner GmbH,"42327 Wuppertal, Germany",42327,51.242882880712784,7.074620620216511,150.0,SolingenStadt;Mettmann;WuppertalStadt;RemscheidStadt;EssenStadt;DuesseldorfStadt;Rhein_Neuss;LeverkusenStadt;DuisburgStadt;HagenStadt;GelsenkirchenStadt;BottropStadt;WittenbergLand;BochumStadt;OberhausenStadt,10.0,500.0
Berthold Herzog,"63814 Mainaschaff, Germany",63814,49.9998872,9.086395035109847,100.0,Aschaffenburg;HochtaunusLand;FrankfurtOderStadt;MiltenbergLand;Darmstadt;Rheingau_Taunus_Land;WiesbadenLandeshauptstadt;Rhein_Hunsrueck_Land;Mainz_BingenLand;Rhoen_GrabfeldLand,5.0,250.0
BERUS Energietechnik e.K.,"88069 Tettnang, Germany",88069,47.6545925,9.604272433657734,100.0,RavensburgLand;LindauBodenseeLand;BiberachLand;Memmingen;SigmaringenLand;KemptenAllgaeu;TuttlingenLand;KonstanzLand,5.0,250.0
BEY ELMAR GmbH & CO. KG,"64319 Pfungstadt, Germany",64319,49.8024721,8.593209651944612,100.0,Darmstadt_DieburgLand;WormsStadt;MannheimUniversitaetsstadt;FrankenthalPfalzStadt;Mainz_BingenLand;FrankfurtamMainStadt;LudwigshafenamRheinStadt;OdenwaldLand;HeidelbergStadtStadt;Rheingau_Taunus_Land,5.0,250.0
BIERTHER HEIZUNGSANLAGEN GmbH,"69126 Heidelberg, Germany",69126,49.376832133155354,8.690933393159426,100.0,HeidelbergStadtStadt;MannheimUniversitaetsstadt;LudwigshafenamRheinStadt;SpeyerStadt;WormsStadt;GermersheimLand;KarlsruheStadtStadt;Neustadta.d.Aisch_BadW.;Darmstadt;HohenloheLand,5.0,250.0
Blaffert Heizsysteme GmbH,"39524 Schönhausen, Germany",39524,52.66909789367354,12.06694595277346,100.0,JerichowerLandLand;StendalLand;BurgenlandLand;BrandenburganderHavel;MagdeburgLandeshauptstadt;HarzLand,5.0,250.0
Blatzheim & Sohn GmbH,"52372 Kreuzau, Germany",52372,50.7383479,6.479966746998315,100.0,Dueren;Euskirchen;Rhein_Erft_;StaedteregionAachen;KoelnStadt;GrafschaftBentheimLand;Heinsberg;BonnStadt;LeverkusenStadt;Rhein_Sieg_,5.0,250.0
"boden & grundwasser, Dr. Jörg Danzer Dipl. Geoökologe","87527 Sonthofen, Germany",87527,47.5055914,10.269482173899464,100.0,KemptenAllgaeu;Memmingen;Kaufbeuren;LindauBodenseeLand;RavensburgLand;LandsbergamLechLand,5.0,250.0
Böhm GmbH,"04416 Markkleeberg, Germany",4416,51.26845875,12.396545220727784,100.0,LeipzigStadt;NordsachsenLand;AltenburgerLandLand;HalleSaaleStadt;Anhalt_BitterfeldLand;ErzgebirgsLand;ChemnitzStadt;ZwickauLand;Groß_GerauLand;JenaStadt,5.0,250.0
Börner + Co KG,"85053 Ingolstadt, Germany",85053,48.74609894429576,11.4513175550012,100.0,Ingolstadt;Neuburg_Schrobenhausen;EichstaettLand;Pfaffenhofena.d.IlmLand;SaaleLand;FreisingLand;KelheimLand;Neumarkti.d.OPf.Land;Aichach_FriedbergLand;HarburgLand,5.0,250.0
BRENNER GmbH - Beste Heizungs- & Elektro-Technologie,"71229 Leonberg - Höfingen, Germany",71229,48.78961225,9.000822581694354,100.0,StuttgartLandeshauptstadt;BoeblingenLand;LudwigsburgLand;CalwLand;PforzheimStadtStadt;Rems_Murr_Land;EsslingenLand;BirkenfeldLand;TuebingenLand;ReutlingenLand,5.0,250.0
Bruch Kälte und Klimatechnik,"42369 Wuppertal, Germany",42369,51.22652635526601,7.201824049011347,100.0,WuppertalStadt;RemscheidStadt;SolingenStadt;Mettmann;HagenStadt;WittenbergLand;DuesseldorfStadt;BochumStadt;LeverkusenStadt;EssenStadt,5.0,250.0
Budde GmbH und Co. KG,"30974 Wennigsen (Deister), Germany",30974,52.270714487314244,9.584112049333061,100.0,RegionHannoverLand;Hameln_PyrmontLand;HildesheimLand;SchaumburgLand;NienburgWeserLand;PeineLand;Minden_Luebbecke;CelleLand;HolzmindenLand;SalzgitterStadt,5.0,250.0
Bühr Lufttechnik GmbH,"70839 Gerlingen, Germany",70839,48.79815182162385,9.064921871079617,100.0,StuttgartLandeshauptstadt;LudwigsburgLand;BoeblingenLand;EsslingenLand;Rems_Murr_Land;CalwLand;PforzheimStadtStadt;TuebingenLand;Main_Tauber_Land;HeilbronnLandLand,5.0,250.0
BURY Haustechnik GmbH,"79241 Ihringen, Germany",79241,48.04543276753025,7.655091221980764,100.0,EmmendingenLand;Schwarzwald_Baar_Land;LoerrachLand,5.0,250.0
Butscher GmbH,"87471 Durach, Germany",87471,47.69649335,10.366545555635087,100.0,KemptenAllgaeu;Memmingen;Kaufbeuren;LandsbergamLechLand;BiberachLand;LindauBodenseeLand;Weilheim_SchongauLand;Alb_Donau_Land;UlmUniversitaetsstadtStadt;Garmisch_PartenkirchenLand,5.0,250.0
caldoa GmbH,"88046 Friedrichshafen, Germany",88046,47.65969015,9.50416034702076,100.0,RavensburgLand;LindauBodenseeLand;SigmaringenLand;BiberachLand;TuttlingenLand;KonstanzLand;Memmingen;KemptenAllgaeu,5.0,250.0
Christoph Rechkemmer GmbH,"66292 Riegelsberg, Germany",66292,49.30878835158418,6.935701052781655,100.0,St.WendelLand;Dillingena.d.DonauLand;SaarlouisLand;NeunkirchenLand;ZweibrueckenStadt;Merzig_WadernLand;PirmasensStadt;VulkaneifelLand;KaiserslauternStadt;KuselLand,5.0,250.0
Claus Grammerstorf Inh. Peter Marquardt e.K.,"23669 Timmendorfer Strand, Germany",23669,53.99101983547429,10.799882253241307,100.0,LuebeckHansestadt;Ostholstein;Ploen;HerzogtumLauenburg;Segeberg;KielLandeshauptstadt;NeumuensterStadt;HamburgBundesland;Pinneberg,5.0,250.0
CLIVENT Umwelttechnik,"78166 Donaueschingen, Germany",78166,47.94686125,8.530789753575341,100.0,TuttlingenLand;RottweilLand;KonstanzLand;WaldshutLand;SigmaringenLand;EmmendingenLand;FreudenstadtLand,5.0,250.0
ColdTec Kälte-Klima-Wärmepumpentechnik GmbH,"32602 Vlotho, Germany",32602,52.15912859988332,8.849102153609751,100.0,Herford;Minden_Luebbecke;Lippe;BielefeldStadt;SchaumburgLand;Hameln_PyrmontLand;Guetersloh;NienburgWeserLand;OsnabrueckLand;Paderborn,5.0,250.0
Cooljoy GmbH & Co. KG,"51399 Burscheid, Germany",51399,51.09124785,7.11906295083898,100.0,SolingenStadt;LeverkusenStadt;RemscheidStadt;KoelnStadt;WuppertalStadt;Mettmann;Rhein_Erft_;DuesseldorfStadt;Rhein_Sieg_;Rhein_Neuss,5.0,250.0
COOLTHERM Kälteanlagen und Wärmepumpen GmbH,"63755 Alzenau, Germany",63755,50.08377305000001,9.07302251363447,100.0,AschaffenburgLand;FrankfurtamMainStadt;HochtaunusLand;MiltenbergLand;Darmstadt_DieburgLand;Rheingau_Taunus_Land;WiesbadenLandeshauptstadt;Rhein_Pfalz_Land;MainzStadt;FuldaLand,5.0,250.0
Cramer Klimatechnik Inh. Dipl.-Ing. Heinz Herbert ScheiffarthHeinz-Herbert Scheiffarth,"42107 Wuppertal, Germany",42107,51.26420507080971,7.154320618114832,100.0,WuppertalStadt;RemscheidStadt;Mettmann;SolingenStadt;HagenStadt;WittenbergLand;EssenStadt;BochumStadt;DuesseldorfStadt;Rhein_Neuss,5.0,250.0
Cube Ingenieurunion GmbH,"67549 Worms, Germany",67549,49.63883021667088,8.336991899502399,100.0,WormsStadt;LudwigshafenamRheinStadt;MannheimUniversitaetsstadt;Darmstadt;SpeyerStadt;Neustadta.d.Waldnaab;HeidelbergStadtStadt;Rheingau_Taunus_Land;WiesbadenLandeshauptstadt;KaiserslauternStadt,5.0,250.0
"Dages, Huber & Schildbach OHG","87675 Stötten a. Auerberg, Germany",87675,47.74177589999999,10.70083128089979,100.0,Kaufbeuren;KemptenAllgaeu;Weilheim_SchongauLand;LandsbergamLechLand;Memmingen;Garmisch_PartenkirchenLand;Augsburg;FuerstenfeldbruckLand;Aichach_FriedbergLand,5.0,250.0
Daschner GmbH,"47169 Duisburg, Germany",47169,51.51206544329934,6.761445907514831,100.0,DuisburgStadt;OberhausenStadt;Maerkischer;BottropStadt;Wesel;EssenStadt;GelsenkirchenStadt;HerneStadt;DuesseldorfStadt;Mettmann,5.0,250.0
