Distributors,Address,zipcode,lat,long,operating radius,operating districts,workforce,max_installations
Erwin Merk GmbH,"89264 Weißenhorn, Germany",89264,48.3020171,10.177888700200981,100.0,86381;86502;89231;89168;87700;86150;86609;86498;72535;87435,10.0,250.0
ETG Wiedholz Elektrotechnischer Fachgroßhandel,"86462 Langweid/Lech, Germany",86462,48.48088945,10.826741557738764,100.0,85123;86609;82297;85072;85077;85221;86502;82110;86150;91710,10.0,250.0
Eugen Bosch GmbH & Co. KG,"50823 Cologne, Germany",50823,50.94975484721943,6.923365932724571,100.0,42799;51371;50667;40699;40210;42651;50126;42477;53111;40667,10.0,250.0
Ewald Büttner GmbH,"63856 Bessenbach, Germany",63856,49.9660696,9.252114800788133,100.0,97225;63739;35104;36381;63065;97517;35510;60306;63785;35315,10.0,250.0
F.Grassmugg Kälte-Klima-Technik,"71679 Asperg, Germany",71679,48.9046078859641,9.138954993652023,100.0,70734;71543;70806;70173;74214;21217;74405;75172;73430;71032,10.0,250.0
F.O. Henneberg GmbH,"20354 Hamburg, Germany",20354,53.55587332583894,9.990383920721008,100.0,20038;22844;21039;19069;19273;24534;23611;23714;29614;24107,10.0,250.0
Faust GmbH,"56070 Koblenz, Germany",56070,50.374941338367435,7.588230976525044,100.0,56203;53545;56112;56472;35781;6406;56170;35576;57072;51570,10.0,250.0
Fedder GmbH,"41462 Neuss, Germany",41462,51.21565543410996,6.666674339199691,100.0,40210;47051;47798;40699;34582;42651;42103;45403;40667;45127,10.0,250.0
Fiedler Service GmbH,"13509 Berlin, Germany",13509,52.59071885,13.298214993776467,100.0,16225;10115;15236;14461;16515;3202;17121;14770,10.0,250.0
Fiehl & Kersken GmbH,"50389 Wesseling, Germany",50389,50.81590634608205,6.977998337090839,100.0,42799;50667;53111;51371;42477;51570;50126;40699;42651;40667,10.0,250.0
Firma Kölling GmbH,"01561 Ebersbach OT Bieberach, Germany",1561,51.28951915,13.711979771021142,100.0,1945;1454;1067;3238;3058;1445;3042;1705;12529,10.0,250.0
Fischer Elektrotechnik GmbH,"89584 Ehingen-Dächingen, Germany",89584,48.28566035901308,9.716187626552221,100.0,72535;89231;89168;86381;73033;72124;87700;7919;86498;86502,10.0,250.0
Fischer GbR Bad & Heiztechnik,"59069 Hamm, Germany",59069,51.62334875000001,7.868872314064967,100.0,58739;48231;33311;44532;44623;44135;24576;33098;44575;45879,10.0,250.0
FMH Bau-Meister GmbH & Co KG,"52070 Aachen, Germany",52070,50.783258450583716,6.098154874177514,100.0,52349;41812;50126;52062;40667;41061;34582;50667;51371;40210,10.0,250.0
Francois Fiedler GmbH,"14089 Berlin-Kladow, Germany",14089,52.47087255,13.151527738415707,100.0,16515;10115;14461;16225;15236;14770;16816;3202,10.0,250.0
Frank Widdel Haustechnik,"59063 Hamm, Germany",59063,51.67203085,7.837455419292951,100.0,48231;58739;33311;44532;44623;44135;24576;49074;33098;44575,10.0,250.0
Franz Lanzinger GmbH,"86931 Prittriching, Germany",86931,48.19888325,10.926865826408914,100.0,82297;82110;85221;86150;86854;85123;82269;82131;85077;87600,10.0,250.0
FRIELING FRITZ GmbH,"49393 Lohne (Oldenburg), Germany",49393,52.66118125,8.228908928665907,100.0,49377;27211;26169;27318;27283;27749;26121;26349;28195;26160,10.0,250.0
Fritsch GmbH Heizungen und Bäder,"76437 Rastatt, Germany",76437,48.86651935,8.18452642549805,100.0,68753;76530;67360;76437;67377;71292;76829;75172;72202;68526,10.0,250.0
Fritz Laxganger GmbH,"83119 Obing, Germany",83119,48.01504925,12.393458950726489,100.0,84489;83527;84140;84405;83550;83119;84028;83317;84130;94032,10.0,250.0
Fuchs Heizung + Haustechnik GmbH,"53840 Troisdorf, Germany",53840,50.81089034725922,7.162176854136268,100.0,42477;42799;53111;51570;50667;51371;42651;40699;58507;42103,10.0,250.0
Fuhrer Kälte & Klimatechnik,"72108 Rottenburg-Oberndorf, Germany",72108,48.46967965,8.934589874858336,100.0,71032;72070;70173;72124;72202;70806;73033;70734;71292;72336,10.0,250.0
G.U.T. Gebäude- und Umwelttechnik GmbH,"26180 Rastede, Germany",26180,53.24468722976924,8.203744334867308,100.0,26349;26121;26316;21745;26382;27749;22869;27711;26160;28195,10.0,250.0
Gabriel GmbH Heizung Sonne Bad,"88371 Boos, Germany",88371,47.9693331,9.5924291175474,100.0,72535;7919;89231;88147;86498;72124;72419;87700;86381;87435,10.0,250.0
Garbe Elektro- und Solartechnik GmbH,"47589 Uedem, Germany",47589,51.6755786,6.2936017234857795,100.0,46483;47051;25554;46236;47798;44575;45403;45879;40210;44623,10.0,250.0
Gellert & Meitzner GmbH,"03172 Schenkendöbern, Germany",3172,51.94876470000001,14.624074912977393,100.0,15230;3042;3058,10.0,250.0
Gemeinhardt AG,"95145 Oberkotzau, Germany",95145,50.2573776,11.925640376067092,70.0,95100;7343;7554;8056,6.0,150.0
genotec GmbH und Co. KG,"52538 Gangelt, Germany",52538,51.00737995,5.984794334299872,70.0,41812;41061;41334;34582;40667;25554;52349;40210,6.0,150.0
GeoClimaDesign AG,"15517 Fürstenwalde / Spree, Germany",15517,52.37474285,14.06711939734578,70.0,15230;15236,6.0,150.0
Georg Bergsteiner GmbH,"85077 Manching-Oberstimm, Germany",85077,48.71658625,11.490985645643756,70.0,85049;84048;84069;85072;85077;90602;84072;85123,6.0,150.0
GeoSolar Energietechnik GmbH,"15370 Fredersdorf, Germany",15370,52.5189856,13.779896376943707,70.0,15236;16225,6.0,150.0
